,freight_value,payment_installments,payment_value,review_score,days_to_delivery,delivery_days b/(w),review_response_days,freight_percent,late,repeat?
117681,15.77,1,95.72,5,-5,17,2,0.16475135812787295,1,1
95051,15.22,1,165.21,5,-10,19,3,0.09212517402094304,1,1
32033,12.01,2,211.91,4,-11,5,1,0.05667500353923836,1,1
92380,80.07,10,200.06,3,-23,12,4,0.40022993102069376,1,1
51315,32.65,10,182.45,3,-24,17,4,0.1789531378459852,1,1
113148,13.06,10,363.06,5,-4,24,3,0.035972015644797004,1,1
47136,15.56,3,54.06,5,-8,13,1,0.2878283388827229,1,1
33077,10.96,1,28.46,4,-3,16,3,0.38510189739985945,1,1
37040,10.96,1,55.96,4,-6,14,3,0.1958541815582559,1,1
1095,40.48,1,179.48,5,-22,13,2,0.22554045018943614,1,1
118269,8.85,7,76.85,5,-9,11,2,0.11515940143135979,1,1
28178,15.91,10,129.9,5,-15,5,6,0.1224788298691301,1,1
80804,34.46,1,133.46,4,-22,18,0,0.2582047055297467,1,1
113904,17.19,1,35.18,4,-13,13,0,0.48862990335417855,1,1
68419,16.05,5,56.04,3,-11,23,0,0.28640256959314775,1,1
26727,11.74,2,56.29,5,-9,10,3,0.20856279978681827,1,1
82089,14.68,2,144.58,5,-12,14,3,0.10153548208604232,1,1
25919,10.96,1,79.92,4,-8,11,2,0.13713713713713716,1,1
75139,20.4,1,79.39,4,-25,13,0,0.2569593147751606,1,1
64755,14.56,1,69.56,5,-9,24,0,0.2093156986774008,1,1
40500,14.52,1,118.26,5,-8,17,0,0.12278031456113647,1,1
52249,12.36,2,150.36,5,-5,15,1,0.08220271348762968,1,1
91345,14.59,2,74.49,5,-12,12,1,0.1958652168076252,1,1
72606,17.78,1,33.77,5,-14,14,3,0.5265028131477643,1,1
2652,20.73,1,79.73,5,-13,15,1,0.260002508466073,1,1
89607,16.53,3,135.53,5,-13,21,1,0.12196561646867853,1,1
3264,14.52,1,32.51,5,-10,15,14,0.4466318055982775,1,1
105190,22.39,1,87.45,5,-24,13,1,0.25603201829616923,1,1
79408,21.08,1,110.98,5,-24,12,1,0.18994413407821226,1,1
78145,151.34,10,4950.34,5,-16,14,3,0.030571637503686615,1,1
65730,32.29,10,2621.29,5,-16,21,1,0.012318362333049757,1,1
117313,10.96,2,28.86,5,-10,12,0,0.3797643797643798,1,1
72977,10.96,3,33.16,5,-42,16,0,0.33051869722557303,1,1
10076,11.8,2,141.6,5,-6,18,2,0.08333333333333334,1,1
106225,11.03,1,71.03,5,-6,16,1,0.15528649866253694,1,1
26662,14.52,2,51.7,1,-17,8,0,0.2808510638297872,1,1
109073,14.52,2,28.42,5,-18,20,0,0.5109078114004222,1,1
28718,16.48,6,346.38,5,-4,19,0,0.04757780472313644,1,1
46195,14.11,1,33.1,5,-9,14,0,0.42628398791540784,1,1
48452,15.56,5,54.06,4,-14,8,1,0.2878283388827229,1,1
77858,16.15,8,81.14,5,-17,14,4,0.19903869854572342,1,1
75458,21.14,1,120.14,1,-37,-6,2,0.17596137839187614,0,1
26955,14.52,1,63.52,5,-9,13,1,0.22858942065491183,1,1
8696,17.09,2,66.99,5,-9,14,0,0.25511270338856545,1,1
44787,16.85,3,116.75,5,-14,7,1,0.1443254817987152,1,1
44809,14.36,1,104.86,5,-15,5,1,0.13694449742513828,1,1
25593,18.54,10,177.54,3,-16,14,0,0.10442717134166948,1,1
104458,14.52,1,68.84,1,-9,13,1,0.21092388146426494,1,1
1210,8.72,3,39.62,4,-5,15,1,0.22009086320040386,1,1
16119,12.57,10,292.47,5,-37,-17,0,0.042978767053031074,0,1
70133,10.96,2,22.95,5,-5,15,2,0.47755991285403054,1,1
54029,10.96,2,23.46,5,-6,16,2,0.46717817561807334,1,1
3283,11.74,3,41.34,5,-12,14,2,0.28398645379777454,1,1
97706,34.83,3,243.83,5,-6,16,2,0.1428454250912521,1,1
72268,11.24,10,101.14,5,-6,14,0,0.1111330828554479,1,1
34383,11.12,12,168.04,5,-8,27,0,0.06617472030468936,1,1
43462,11.27,6,105.17,5,-2,19,3,0.1071598364552629,1,1
39376,11.31,4,111.21,5,-12,22,15,0.10169948745616403,1,1
88054,11.03,4,71.03,5,-7,21,3,0.15528649866253694,1,1
17804,11.88,3,81.78,4,-7,13,2,0.14526779163609685,1,1
63922,51.81,5,521.71,5,-12,13,3,0.09930804469916236,1,1
38496,11.95,8,91.85,4,-6,14,2,0.1301034295046271,1,1
7921,14.93,8,180.79,4,-11,14,2,0.08258200121688147,1,1
40,44.29,10,853.39,1,-47,-5,0,0.051898897338848594,0,1
37015,11.24,10,101.14,4,-7,18,3,0.1111330828554479,1,1
9606,11.9,8,85.25,4,-14,7,3,0.13958944281524927,1,1
115133,16.05,6,62.08,5,-13,26,5,0.25853737113402064,1,1
38279,13.1,10,176.0,5,-12,29,0,0.07443181818181818,1,1
111317,8.72,1,43.72,4,-11,9,0,0.19945105215004577,1,1
89935,8.99,1,97.99,4,-11,13,0,0.09174405551586898,1,1
23472,10.96,3,45.86,3,-12,8,2,0.23898822503270825,1,1
36044,20.92,4,140.82,5,-12,21,3,0.14855844340292573,1,1
11980,16.05,1,33.95,4,-13,31,1,0.4727540500736377,1,1
50798,16.05,1,33.95,4,-13,31,3,0.4727540500736377,1,1
117416,16.05,1,29.95,4,-19,24,0,0.5358931552587647,1,1
41576,16.05,1,33.95,4,-12,31,1,0.4727540500736377,1,1
47236,10.96,1,49.46,5,-10,14,1,0.22159320663162152,1,1
53953,10.96,1,49.86,5,-19,18,1,0.21981548335338952,1,1
38225,26.78,3,101.68,5,-28,10,0,0.263375295043273,1,1
106066,29.35,3,89.25,5,-11,33,0,0.3288515406162465,1,1
40488,35.63,1,279.13,1,-39,4,1,0.12764661627198798,1,1
91742,11.42,1,127.42,5,-9,13,1,0.08962486265892325,1,1
39337,14.52,1,54.42,5,-9,14,0,0.26681367144432194,1,1
74625,14.74,3,96.64,5,-9,14,1,0.1525248344370861,1,1
94477,12.01,1,101.19,5,-3,18,3,0.11868761735349342,1,1
55308,11.31,3,111.3,5,-9,12,1,0.10161725067385445,1,1
